Name,Phone,Address,Phone2,URL,Email,"Price Level",Class,Price,"Best Price","Average Price",Amenities
"Aotea Motor Lodge","+64 6-345 0303","390 Victoria Avenue, Wanganui 4500 New Zealand","+64 6-345 0303",http://aoteamotorlodge.co.nz,info@aoteamotorlodge.co.nz,$$,4.5,"$125 - $142",,,"Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Room Service,Suites,Wheelchair access"
"Mountain View Motel","+64 800 688 439","2 Moore Street, Ohakune 4625 New Zealand","+64 800 688 439",http://www.mountain-viewmotel.co.nz,stay@mountain-viewmotel.co.nz,$,0.0,"$76 - $90",,,"Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Wheelchair access"
"Lakeside Apartments","+64 3-443 0188","9 Lakeside Road, Wanaka New Zealand","+64 3-443 0188",http://www.lakesidewanaka.co.nz,info@lakesidewanaka.co.nz,$$$,5.0,"$239 - $289",,,"Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Suites,Swimming Pool,Wheelchair access"
"The Moorings","+64 3-443 8479","17 Lakeside Road PO Box 368, Wanaka 2003 New Zealand","+64 3-443 8479",http://www.themoorings.co.nz,host@themoorings.co.nz,$$,4.5,"$153 - $163",,,"Free Parking,Kitchenette,Wheelchair access"
"Wanaka Luxury Apartments","+64 3-443 4943","8 Stonebrook, Wanaka 9305 New Zealand","+64 3-443 4943",http://www.wla.co.nz,info@wla.co.nz,$$,5.0,"$132 - $174",,,"Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Room Service,Shuttle Bus service,Suites,Swimming Pool"
"Clearbrook Motel","+64 3-443 4413","72 Helwick Street (Corner of Helwick & Upton Streets), Wanaka 9305 New Zealand","+64 3-443 4413",http://www.clearbrook.co.nz,info@clearbrook.co.nz,$$,4.0,"$125 - $235",,,"Free Parking,Children Activities ( Kid / Family Friendly ),Kitchenette,Room Service,Ski-In / Ski-Out,Wheelchair access"
"Fairway Motel","+64 3-443 7285","2 MacPherson Street Central Otago District, Wanaka New Zealand","+64 3-443 7285",http://www.fairwaylodgemotel.co.nz/,fairwaylodgemotel@clear.net.nz,$$,3.5,"$93 - $188",,,"Free Parking,Kitchenette,Swimming Pool,Wheelchair access"
"Whare Kea Lodge & Chalet","+64 3-443 1400","494 Mt. Aspiring Road PO Box 115, Wanaka 9343 New Zealand","+64 3-443 1400",http://www.wharekealodge.com,admin@wharekealodge.com,$$$$,5.0,"$669 - $1,508",,,"Business Center with Internet Access,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Room Service"
"Archway Motels","+64 3-443 7698","64 Hedditch Street, Wanaka 9305 New Zealand","+64 3-443 7698",http://www.archwaymotels.co.nz/,stay@archwaymotels.co.nz,$$,3.5,"$99 - $112",,,"Business Center with Internet Access,Free High Speed Internet ( Wi-Fi ),Free Parking,Children Activities ( Kid / Family Friendly ),Kitchenette,Pets Allowed ( Dog / Pet Friendly ),Spa,Wheelchair access"
"Wanaka Heights Motel","+64 3-443 1944","57 Hedditch St. 9305, Wanaka New Zealand","+64 3-443 1944",http://www.wanakaheightsmotel.co.nz/,info@wanakaheightsmotel.co.nz,$$,3.5,"$114 - $173",,,"Free Parking,Kitchenette,Room Service,Shuttle Bus service,Wheelchair access"
"Manuka Crescent Motel","+64 3-443 7773","51 Manuka Crescent, Wanaka 9305 New Zealand","+64 3-443 7773",http://www.manukacrescentmotel.co.nz/,stay@manukacrescentmotel.co.nz,$,3.5,"$72 - $91",,,"Business Center with Internet Access,Free Parking,Children Activities ( Kid / Family Friendly ),Kitchenette,Swimming Pool,Wheelchair access"
"Alpine Motel","+64 3-443 7950","7 Ardmore Street, Wanaka 9305 New Zealand","+64 3-443 7950",http://alpinemotelwanaka.co.nz/,info@alpinemotelwanaka.co.nz,$,3.0,"$94 - $120",,,"Free Parking,Kitchenette,Room Service,Ski-In / Ski-Out,Suites,Wheelchair access"
"Wanaka Homestead Lodge and Cottages","+64 3-443 5022","1 Homestead Close, Wanaka 9305 New Zealand","+64 3-443 5022",http://www.wanakahomestead.co.nz,stay@wanakahomestead.co.nz,$$$,3.5,"$155 - $382",,,"Bar / Lounge,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Children Activities ( Kid / Family Friendly ),Kitchenette,Shuttle Bus service,Ski-In / Ski-Out,Suites,Wheelchair access"
"Wanaka View Motel","+64 3-443 7480","122 Brownston Street, Wanaka New Zealand","+64 3-443 7480",http://www.wanakaviewmotel.co.nz,info@wanakaviewmotel.co.nz,$$,0.0,"$97 - $152",,,"Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Ski-In / Ski-Out"
"Lakeview Motel","+64 3-443 6955","68 Lismore Street, Wanaka 9305 New Zealand","+64 3-443 6955",http://www.lakeviewmotel.co.nz,info@lakeviewmotel.co.nz,$$,0.0,"$118 - $135",,,"Bar / Lounge,Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette"
"Wanaka Hotel","+64 3-443 7826+64 3-443 7826","71 Ardmore Street, P.O. Box 26,, Wanaka New Zealand","+64 3-443 7826+64 3-443 7826",http://www.wanakahotel.co.nz,wanakahotel@xtra.co.nz,$,3.0,"$69 - $153",,,"Bar / Lounge,Business Center with Internet Access,Free Parking,Restaurant"
"InterContinental Bangkok",877-859-5095,"973 Ploenchit Road Lumphini, Pathum Wan, Bangkok 10330 Thailand",877-859-5095,http://www.intercontinental.com/redirect?path=hd&brandCode=ic&hotelCode=bkkhb&regionCode=1&localeCode=en&cm_mmc=mdpr-_-TripAdvisorUS-_-BLwebsite-_-IC_BKKHB&_PMID=99618083,N/A,$$$,5.0,"$167 - $297",$184,$217,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Parking,Children Activities ( Kid / Family Friendly ),Pets Allowed ( Dog / Pet Friendly ),Restaurant,Room Service,Spa,Suites,Swimming Pool,Wheelchair access"
"Royal Orchid Sheraton Hotel & Towers","+66 2 266 0123","2 Charoen Krung Road Soi 30 Siphya, Bangrak, Bangkok 10500 Thailand","+66 2 266 0123",http://www.royalorchidsheraton.com?EM=TRIPBUSS_BL_172_SI_AP,00172.info@sheraton.com,$$,5.0,"$108 - $244",,,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Parking,Children Activities ( Kid / Family Friendly ),Restaurant,Room Service,Spa,Suites,Swimming Pool,Wheelchair access"
"W Bangkok","+66 2 344 4000","106 North Sathorn Road Silom, Bangrak, Bangkok 10500 Thailand","+66 2 344 4000",N/A,whotels.bangkok@whotels.com,$$,5.0,"$163 - $236",,,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Pets Allowed ( Dog / Pet Friendly ),Room Service,Spa,Swimming Pool"
"Plaza Athenee Bangkok, A Royal Meridien Hotel","+66 2 650 8800","61 Wireless Road (Witthayu) Ploenchit Skytrain Station, Bangkok 10330 Thailand","+66 2 650 8800",http://www.plazaatheneebangkok.com/?EM=TRIPBUSS_BL_1846_MD_AP,N/A,$$,5.0,"$140 - $225",,,"Bar / Lounge,Beverage Selection,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Children Activities ( Kid / Family Friendly ),Pets Allowed ( Dog / Pet Friendly ),Restaurant,Room Service,Shuttle Bus service,Spa,Suites,Swimming Pool,Wheelchair access,Airport Transportation"
"DoubleTree by Hilton Sukhumvit",6626496666,"18/1 Soi Sukhumvit26, Sukhumvit Road Khlong Ton, Khlong Toei, Bangkok 10110 Thailand",6626496666,http://ad.doubleclick.net/ddm/clk/282248903;109041611;w?http://hilton.co.th/bangkok-hotels/doubletree-sukhumvit-bangkok-hotel/index.html?WT.mc_id=zMWWAAA0EA1WW2DMH3Meta4DGGeneric7GW842004&utm_source=intlmeta&utm_medium=intlmeta&utm_campaign=intlmeta,N/A,$$,4.5,"$81 - $147",$117,$122,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Pets Allowed ( Dog / Pet Friendly ),Restaurant,Room Service,Shuttle Bus service,Suites,Swimming Pool,Wheelchair access"
"Millennium Hilton Bangkok","+66 2 442 2000","123 Charoennakorn Road Khlongtonsai, Khlongsan, Bangkok 10600 Thailand","+66 2 442 2000",http://ad.doubleclick.net/ddm/clk/282247153;109040116;r?http://hilton.co.th/bangkok-hotels/millennium-hilton-bangkok-hotel/index.html?WT.mc_id=zMWWAAA0EA1WW2DMH3Meta4DGGeneric7GW842004&utm_source=intlmeta&utm_medium=intlmeta&utm_campaign=intlmeta,N/A,$$,4.5,"$92 - $196",$124,$172,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Parking,Restaurant,Room Service,Shuttle Bus service,Spa,Suites,Swimming Pool,Wheelchair access"
MHC-Guesthouse,"+66 81 173 3747","8 / 4 Sukhumvit Soi 28 Khlongtoey, Bangkok 10110 Thailand","+66 81 173 3747",http://www.mhc-guesthouse.com/index.php,mhc-guesthouse@hotmail.com,$,0.0,"$24 - $31",$29,$30,"Bar / Lounge,Free High Speed Internet ( Wi-Fi ),Free Parking,Room Service"
"Holiday Inn Bangkok Sukhumvit 22",877-859-5095,"1 Sukhumvit 22 Klongton, Klongtoey, Bangkok 10110 Thailand",877-859-5095,http://www.ichotelsgroup.com/redirect?path=hd&brandCode=hi&hotelCode=bkkhi&regionCode=1&localeCode=en&cm_mmc=mdpr-_-TripAdvisorUS-_-BLwebsite-_-hi_bkkhi&_PMID=99618083,N/A,$$,4.0,"$77 - $110",$58,$104,"Bar / Lounge,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Suites,Swimming Pool,Wheelchair access"
"Holiday Inn Bangkok Silom",877-859-5095,"981 Silom Road, Bangkok 10500 Thailand",877-859-5095,http://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=bnkth&regionCode=1&localeCode=en&cm_mmc=mdpr-_-TripAdvisorUS-_-BLwebsite-_-HI_BNKTH&_PMID=99618083,N/A,$,4.0,"$75 - $115",$53,$97,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Parking,Restaurant,Room Service,Suites,Swimming Pool,Wheelchair access"
"FuramaXclusive Sukhumvit","+66 2 255 4224","27 Sukhumvit Soi 1 Wattana, Bangkok 10110 Thailand","+66 2 255 4224",http://www.furamaxclusive.com/sukhumvit/,reservations@furama.com,$,4.0,"$39 - $80",,,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Restaurant,Room Service,Shuttle Bus service,Suites,Swimming Pool,Wheelchair access"
"Royal Ivory Bangkok","+66 2 656 7888","73 Sukhumvit Soi 4, Klongtoey, Bangkok 10110 Thailand","+66 2 656 7888",http://www.royalivory.com/,reservations@royalivory.com,$,3.0,"$31 - $80",$41,$41,"Bar / Lounge,Free Breakfast,Free Parking,Kitchenette,Restaurant,Room Service,Shuttle Bus service,Swimming Pool"
"Bliston Suwan Park View","+66 2 658 7979","9 Soi Tonson,Ploenchit Road,Lumpini,Pathumwan, Bangkok 10330 Thailand","+66 2 658 7979",http://www.blistonresidence.com,reservation@blistonresidence.com,$$,4.0,"$100 - $147",,,"Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Children Activities ( Kid / Family Friendly ),Kitchenette,Pets Allowed ( Dog / Pet Friendly ),Restaurant,Room Service,Suites,Swimming Pool,Wheelchair access,Airport Transportation"
"Holiday Inn Express Bangkok Sathorn",877-859-5095,"51 Soi Pipat Silom Bangrak, Bangkok 10700 Thailand",877-859-5095,http://www.ichotelsgroup.com/redirect?path=hd&brandCode=ex&hotelCode=bkkbt&regionCode=1&localeCode=en&cm_mmc=mdpr-_-TripAdvisorUS-_-BLwebsite-_-ex_bkkbt&_PMID=99618083,N/A,$,3.5,"$52 - $81",,,"Beverage Selection,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Wheelchair access"
"iCheck Inn Silom","+66 88 870 0012","298/3-7 Soi Silom 28, Silom Road, Bangkok 10500 Thailand","+66 88 870 0012",http://www.icheckinn.com/hotel.php?silom,reservation@icheckinn.com,$,2.5,"$35 - $111",,,"Free High Speed Internet ( Wi-Fi ),Airport Transportation"
"S Sukhumvit Suites Hotel","+66 2 661 7262","403-403/1,407-407/1 Sukhumvit Road, Between Sukhumvit 21&23, Klongtoeynuea, Wattana, Bangkok 10110 Thailand","+66 2 661 7262",http://www.ssukhumvitsuites.com,reservation@ssukhumvitsuites.com,$,3.5,"$56 - $90",,,"Bar / Lounge,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Restaurant,Room Service,Suites,Airport Transportation"
"Ad Lib","+66 2 205 7600","230/5 Sukhumvit Soi 1, Wattana, Bangkok 10110 Thailand","+66 2 205 7600",http://www.adlibbangkok.com/,reservation@adlibbangkok.com,$,4.0,"$75 - $160",,,"Bar / Lounge,Beverage Selection,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Pets Allowed ( Dog / Pet Friendly ),Restaurant,Room Service,Shuttle Bus service,Swimming Pool,Wheelchair access,Airport Transportation"
"SilQ Bangkok","+66 2 252 6800","54 Sukhumvit Soi 19 Sukhumvit Road, Bangkok 10110 Thailand","+66 2 252 6800",http://www.silqbkk.com,info@silqbkk.com,$,4.0,"$56 - $86",,,"Bar / Lounge,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service"
"Swissotel Le Concorde","+66 2 694 2222","204 Ratchadapisek Road Huay Kwang, Bangkok 10320 Thailand","+66 2 694 2222",http://www.swissotel.com/hotels/bangkok-concorde/,bangkok-leconcorde@swissotel.com,$$,4.0,"$73 - $132",,,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Spa,Suites,Swimming Pool,Wheelchair access"
"Siam@Siam Design Hotel & Spa","+66 2 217 3000","865 Rama 1 Road Wang Mai, Pathum Wan, Bangkok 10330 Thailand","+66 2 217 3000",http://www.siamatsiam.com/,rsvn@siamatsiam.com,$$,4.0,"$90 - $153",,,"Bar / Lounge,Beverage Selection,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Spa,Suites,Swimming Pool,Airport Transportation"
"Chateau de Bangkok","+66 2 651 4400","29 Soi Ruamrudee 1, Ploenchit Rd., Bangkok 10330 Thailand","+66 2 651 4400",http://www.chateaubkk.com/,resv@chateaubkk.com,$,4.0,"$55 - $138",,,"Bar / Lounge,Beverage Selection,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Children Activities ( Kid / Family Friendly ),Kitchenette,Restaurant,Room Service,Shuttle Bus service,Spa,Suites,Swimming Pool,Wheelchair access"
"Radisson Suites Bangkok Sukhumvit",66-002-6454999,"23/2-3 Sukhumvit 13, Sukhumvit Road, Klongtoey Nua, Wattana, Bangkok 10110 Thailand",66-002-6454999,http://ad.doubleclick.net/clk;277127686;104525366;n,sales.sukhumvit@radisson.com,$,4.5,"$67 - $125",,,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Shuttle Bus service,Suites,Swimming Pool,Wheelchair access"
"Holiday Inn Express Bangkok Siam",877-859-5095,"889 Rama 1 Road Wang Mai, Pathumwan, Bangkok 10400 Thailand",877-859-5095,http://www.ichotelsgroup.com/redirect?path=hd&brandCode=ex&hotelCode=bkkrb&regionCode=1&localeCode=en&cm_mmc=mdpr-_-TripAdvisorUS-_-BLwebsite-_-ex_bkkrb&_PMID=99618083,N/A,$,3.5,"$71 - $93",,,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Wheelchair access"
"Sabai Sabai at Sukhumvit Hotel","+66 2 391 6498","984/22-27, Soi Pridipanomyong 40, Sukhumvit 71 Road Prakanong, Wattana, Bangkok 10110 Thailand","+66 2 391 6498",http://www.sabai-sabai-sukhumvit.com/,rsvn@sabai-sabai-sukhumvit.com,$,3.0,"$30 - $98",,,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Restaurant,Room Service,Spa,Suites,Wheelchair access"
"Ramada Plaza Menam Riverside","+66 2 688 1000","2074 Charoenkrung Rd, Bangkok 10120 Thailand","+66 2 688 1000",http://www.ramada.com/hotels/hotel-overview?hotel_id=20112&cid=whg_raa_ta_bizlist_propsite&wid=ps:addppc_bl&reg=appc-_-TABZLPP-_-20112-_-RAAUS,N/A,$$,4.0,"$79 - $166",,,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Children Activities ( Kid / Family Friendly ),Restaurant,Room Service,Shuttle Bus service,Spa,Suites,Swimming Pool,Wheelchair access"
"Conrad Bangkok Residences","+66 2 690 9999","87/3 Wireless Road All Seasons Place, Floor 8-15 of the Conrad Bangkok Hotel, Bangkok 10330 Thailand","+66 2 690 9999",http://ad.doubleclick.net/ddm/clk/283729122;110561617;z;u=hotelidBKKRECI?http://conradhotels3.hilton.com/en/hotels/thailand/conrad-bangkok-residences-BKKRECI/index.html?WT.mc_id=zMWWAAA0EA1WW2DMH3Meta4DGGeneric7GW842004&utm_source=intlmeta&utm_medium=intlmeta&utm_campaign=intlmeta,N/A,$$$,4.5,"$186 - $292",,,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Pets Allowed ( Dog / Pet Friendly ),Room Service,Swimming Pool"
"FuramaXclusive Asoke","+66 2 677 8484","133/2 Sukhumvit Soi 21, Bangkok 10110 Thailand","+66 2 677 8484",http://www.furamaxclusive.com/asoke/,reservations@furama.com,$,4.0,"$58 - $92",,,"Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Suites,Swimming Pool,Wheelchair access"
"Furama Silom","+66 2 688 6888","533 Silom Road, Bangkok 10500 Thailand","+66 2 688 6888",http://www.furama.com/silom/,reservations@furama.com,$,3.5,"$42 - $79",,,"Bar / Lounge,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Suites,Swimming Pool"
"Skyy Hotel","+66 2 105 0888","88/8 Sukhumvit Soi 1,Sukhumvit Road Klongtoey-Nua,Wattana, Bangkok 10110 Thailand","+66 2 105 0888",http://www.skyyhotel.com,rsvn@skyyhotel.com,$,4.0,"$44 - $84",,,"Bar / Lounge,Free High Speed Internet ( Wi-Fi ),Restaurant,Room Service"
"BEST WESTERN Mayfair Suites",800-568-8520,"36 Phethburi Soi 13 (enter Phethburi Soi 11 through Phethburi Soi 13), Phethburi Road, Phayathai,, Bangkok 10400 Thailand",800-568-8520,http://m.bestwestern.com/mt/http://book.bestwestern.com/bestwestern/productInfo.do?iata=00170730&propertyCode=99328,N/A,$,3.0,"$36 - $51",,,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Shuttle Bus service"
"At Mind Executive Suites","+66 2 311 4444","8 Soi 8 Sukhumvit 85, Bangchak, Phrakhanong, Bangkok Thailand","+66 2 311 4444",http://www.atmindsukhumvit.com/,info@atmindsukhumvit.com,$,3.5,"$30 - $47",,,"Bar / Lounge,Beach,Fitness Center with Gym / Workout Room,Free Parking,Restaurant,Room Service,Shuttle Bus service,Swimming Pool"
"Praya Palazzo","+66 2 883 2998","757 / 1 Somdej Prapinklao Soi 2, Bangkok 10700 Thailand","+66 2 883 2998",http://www.prayapalazzo.com,reservation@prayapalazzo.com,$$,4.5,"$102 - $228",,,"Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Swimming Pool"
"Bangkok Loft Inn","+66 2 862 0300","55 Somdet Phra Chao Taksin Rd. Bangyeerua, Thonburi, Bangkok 10600 Thailand","+66 2 862 0300",http://www.bangkokloftinn.com,contact@bangkokloftinn.com,$,0.0,"$41 - $43",N/A,N/A,"Business Center with Internet Access,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Wheelchair access,Airport Transportation"
"Holiday Inn Express Bangkok Sukhumvit 11",877-859-5095,"30 Sukhumvit Soi 11 Klongtoey-Nua, Bangkok 10110 Thailand",877-859-5095,http://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=bkkex&regionCode=1&localeCode=en&cm_mmc=mdpr-_-TripAdvisorUS-_-BLwebsite-_-EX_BKKEX&_PMID=99618083,N/A,,0.0,$0,,,
"FuramaXclusive Sathorn","+66 2 266 8030","59 Silom Soi 3 (Piphat 2), Silom Road Silom, Bangkok 10500 Thailand","+66 2 266 8030",http://www.furamaxclusive.com/sathorn/,reservations@furama.com,$,4.0,"$50 - $83",,,"Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Restaurant,Room Service,Suites,Swimming Pool"
"Om Yim Lodge","+66 2 635 0169","72-74 Naratiwat Rd Silom, Bangkok Thailand","+66 2 635 0169",http://www.omyimgroup.com,omyim@omyimgroup.com,$,3.0,"$24 - $40",,,"Bar / Lounge,Business Center with Internet Access,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Airport Transportation"
"Amaranta Suites","+66 2 691 1688","1 Soi 5 Pracharatbumpen Rd. Huai Khwang, Bangkok 10320 Thailand","+66 2 691 1688",http://www.amarantasuites.com,amarantasuites@gmail.com,$$,0.0,"$168 - $190",,,"Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Restaurant,Room Service,Suites,Wheelchair access,Airport Transportation"
